run,task,optimizer,projector,projection,effective_projection,switched_at_step,step,loss,elapsed_sec,chi_k_grad,chi_k_grad_ema,epoch_time_sec,epoch_time_sec_avg,subspace_usefulness/rho,accuracy,update/projection,update/raw_update_norm,update/projected_update_norm,update/alignment,update/eigvals,validation/loss,validation/accuracy,projector/subspace_pct,seed,run_label
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1440,0.4699211597442627,105.29504180000004,,,0.9933602000019164,1.4423978328767129,,0.8199999928474426,none,0.03804532065987587,0.03804532065987587,1.0,,0.6596225883483887,0.5644,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1460,0.4996891960501671,106.3222300999987,,,1.0271882999986701,1.4367868932432257,,0.7999999523162842,none,0.03709457814693451,0.03709457814693451,1.0,,0.6516342219352722,0.5635,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1480,0.4851385042071342,107.39684969999871,,,1.0746196000000054,1.4319579959999829,,0.7799999713897705,none,0.03312394395470619,0.03312394395470619,1.0,,0.649166881275177,0.5678,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1500,0.4802594169974327,108.48765719999938,,,1.0908075000006647,1.4274691736842022,,0.7599999904632568,none,0.03821665048599243,0.03821665048599243,1.0,,0.6567635213851929,0.5644,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1520,0.4650486156344414,109.57845629999792,,,1.0907990999985486,1.423096835064908,,0.7799999713897705,none,0.03447606414556503,0.03447606414556503,1.0,,0.6538047203063965,0.571,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1540,0.45167063921689987,110.65500500000053,,,1.0765487000026042,1.418653910256417,,0.8399999737739563,none,0.03533447906374931,0.03533447906374931,1.0,,0.6596160432815552,0.5666,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1560,0.4707128584384918,111.70934479999778,,,1.0543397999972512,1.4140423392404782,,0.8199999928474426,none,0.03583797439932823,0.03583797439932823,1.0,,0.6553082543373108,0.5657,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1580,0.46017954796552657,112.78186260000075,,,1.07251780000297,1.4097732825000093,,0.8199999928474426,none,0.03477146103978157,0.03477146103978157,1.0,,0.6676530694961548,0.564,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1600,0.47714453041553495,113.88157169999977,,,1.0997090999990178,1.4059453296296267,,0.7599999904632568,none,0.038114842027425766,0.038114842027425766,1.0,,0.6595012833595276,0.5672,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1620,0.4283688321709633,114.93765309999799,,,1.0560813999982201,1.401678696341439,,0.8799999952316284,none,0.0359576940536499,0.0359576940536499,1.0,,0.6690710720062256,0.5602,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1640,0.46226241141557695,116.01089199999842,,,1.0732389000004332,1.3977215903614268,,0.7799999713897705,none,0.03400992229580879,0.03400992229580879,1.0,,0.6688013700485229,0.5643,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1660,0.4610901713371277,117.11128919999828,,,1.1003971999998612,1.3941820142856938,,0.8199999928474426,none,0.036293234676122665,0.036293234676122665,1.0,,0.6655209133148193,0.5585,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1680,0.46320336014032365,118.3191857999991,,,1.2078966000008222,1.39199042117646,,0.8199999928474426,none,0.03597553074359894,0.03597553074359894,1.0,,0.6582353657722473,0.5695,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1700,0.4603183463215828,119.42292639999869,,,1.1037405999995826,1.3886386790697522,,0.7999999523162842,none,0.04234848544001579,0.04234848544001579,1.0,,0.6661522931098938,0.5611,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1720,0.43836649805307387,120.53072149999934,,,1.1077951000006578,1.3854105919540154,,0.8799999952316284,none,0.0334775485098362,0.0334775485098362,1.0,,0.6735076583862305,0.5602,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1740,0.4312659680843353,121.55924030000097,,,1.0285188000016205,1.3813550034091018,,0.8999999761581421,none,0.040318913757801056,0.040318913757801056,1.0,,0.6743706345558167,0.5595,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1760,0.4599458768963814,122.66953959999955,,,1.1102992999985872,1.37830943370786,,0.7599999904632568,none,0.04139759764075279,0.04139759764075279,1.0,,0.6671834174156189,0.559,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1780,0.43786088824272157,124.38441809999858,,,1.7148784999990312,1.3820490899999842,,0.8199999928474426,none,0.03580538555979729,0.03580538555979729,1.0,,0.6598046704292297,0.5565,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1800,0.4576635703444481,126.9550421999993,,,2.570624100000714,1.3951103538461462,,0.8199999928474426,none,0.03626719117164612,0.03626719117164612,1.0,,0.6635587721824646,0.5669,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1820,0.4218325689435005,129.49206100000083,,,2.5370188000015332,1.407522402173922,,0.7799999713897705,none,0.03512385115027428,0.03512385115027428,1.0,,0.6665351552963257,0.567,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1840,0.43153942972421644,131.8592251000009,,,2.367164100000082,1.4178411301075367,,0.7799999713897705,none,0.04126301407814026,0.04126301407814026,1.0,,0.6654524528503418,0.5681,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1860,0.4252210557460785,133.33977310000046,,,1.4805479999995441,1.41850822446809,,0.8399999737739563,none,0.03981763869524002,0.03981763869524002,1.0,,0.6717697824478149,0.5601,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1880,0.43986050337553023,134.42113619999873,,,1.0813630999982706,1.4149593284210393,,0.8199999928474426,none,0.036710288375616074,0.036710288375616074,1.0,,0.6766094757080078,0.5584,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1900,0.4484923481941223,135.53509779999877,,,1.1139616000000387,1.4118239354166537,,0.6800000071525574,none,0.03664378821849823,0.03664378821849823,1.0,,0.6774815475463867,0.5593,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1920,0.407245996594429,136.69919719999962,,,1.1640994000008504,1.4092700742268,,0.9199999570846558,none,0.039115071296691895,0.039115071296691895,1.0,,0.6762243103027343,0.563,,42,baseline
cifar10_cnn3__adam__none__none,cifar10_cnn3,adam,none,none,none,,1940,0.42832164019346236,137.77837340000042,,,1.079176200000802,1.4059017693877593,,0.85999995470047,none,0.03779333457350731,0.03779333457350731,1.0,,0.6807491258621216,0.5562,,42,baseline
